,Year,Period,labor force,employment,unemployment,unemployment rate,County
0,2013,Jan,28744,24807,3937,13.7,"San Benito County, CA"
1,2013,Feb,28925,25117,3808,13.2,"San Benito County, CA"
2,2013,Mar,28873,25204,3669,12.7,"San Benito County, CA"
3,2013,Apr,28738,25386,3352,11.7,"San Benito County, CA"
4,2013,May,28604,25379,3225,11.3,"San Benito County, CA"
5,2013,Jun,28697,25444,3253,11.3,"San Benito County, CA"
6,2013,Jul,29281,26090,3191,10.9,"San Benito County, CA"
7,2013,Aug,29072,26099,2973,10.2,"San Benito County, CA"
8,2013,Sep,28986,26198,2788,9.6,"San Benito County, CA"
9,2013,Oct,28819,26035,2784,9.7,"San Benito County, CA"
10,2013,Nov,28498,25603,2895,10.2,"San Benito County, CA"
11,2013,Dec,28494,25525,2969,10.4,"San Benito County, CA"
12,2014,Jan,28831,25528,3303,11.5,"San Benito County, CA"
13,2014,Feb,29002,25676,3326,11.5,"San Benito County, CA"
14,2014,Mar,29268,25921,3347,11.4,"San Benito County, CA"
15,2014,Apr,29183,26288,2895,9.9,"San Benito County, CA"
16,2014,May,29162,26409,2753,9.4,"San Benito County, CA"
17,2014,Jun,29113,26440,2673,9.2,"San Benito County, CA"
18,2014,Jul,29290,26596,2694,9.2,"San Benito County, CA"
19,2014,Aug,29110,26616,2494,8.6,"San Benito County, CA"
20,2014,Sep,29050,26799,2251,7.7,"San Benito County, CA"
21,2014,Oct,29291,26986,2305,7.9,"San Benito County, CA"
22,2014,Nov,29113,26668,2445,8.4,"San Benito County, CA"
23,2014,Dec,29035,26538,2497,8.6,"San Benito County, CA"
24,2015,Jan,29582,26822,2760,9.3,"San Benito County, CA"
25,2015,Feb,29714,27009,2705,9.1,"San Benito County, CA"
26,2015,Mar,29787,27113,2674,9.0,"San Benito County, CA"
27,2015,Apr,29704,27271,2433,8.2,"San Benito County, CA"
28,2015,May,29844,27507,2337,7.8,"San Benito County, CA"
29,2015,Jun,29897,27650,2247,7.5,"San Benito County, CA"
30,2015,Jul,29937,27809,2128,7.1,"San Benito County, CA"
31,2015,Aug,29803,27843,1960,6.6,"San Benito County, CA"
32,2015,Sep,29646,27842,1804,6.1,"San Benito County, CA"
33,2015,Oct,29833,27936,1897,6.4,"San Benito County, CA"
34,2015,Nov,29680,27622,2058,6.9,"San Benito County, CA"
35,2015,Dec,29681,27521,2160,7.3,"San Benito County, CA"
36,2016,Jan,30254,27818,2436,8.1,"San Benito County, CA"
37,2016,Feb,30450,28045,2405,7.9,"San Benito County, CA"
38,2016,Mar,30656,28179,2477,8.1,"San Benito County, CA"
39,2016,Apr,30391,28248,2143,7.1,"San Benito County, CA"
40,2016,May,30401,28483,1918,6.3,"San Benito County, CA"
41,2016,Jun,30664,28655,2009,6.6,"San Benito County, CA"
42,2016,Jul,30634,28701,1933,6.3,"San Benito County, CA"
43,2016,Aug,30489,28627,1862,6.1,"San Benito County, CA"
44,2016,Sep,30404,28643,1761,5.8,"San Benito County, CA"
45,2016,Oct,30466,28722,1744,5.7,"San Benito County, CA"
46,2016,Nov,30301,28516,1785,5.9,"San Benito County, CA"
47,2016,Dec,30091,28133,1958,6.5,"San Benito County, CA"
48,2017,Jan,30100,27877,2223,7.4,"San Benito County, CA"
49,2017,Feb,30391,28118,2273,7.5,"San Benito County, CA"
50,2017,Mar,30538,28341,2197,7.2,"San Benito County, CA"
51,2017,Apr,30556,28680,1876,6.1,"San Benito County, CA"
52,2017,May,30593,28899,1694,5.5,"San Benito County, CA"
53,2017,Jun,30811,29070,1741,5.7,"San Benito County, CA"
54,2017,Jul,31163,29447,1716,5.5,"San Benito County, CA"
55,2017,Aug,30835,29222,1613,5.2,"San Benito County, CA"
56,2017,Sep,30655,29254,1401,4.6,"San Benito County, CA"
57,2017,Oct,30583,29171,1412,4.6,"San Benito County, CA"
58,2017,Nov,30500,29003,1497,4.9,"San Benito County, CA"
59,2017,Dec,30321,28645,1676,5.5,"San Benito County, CA"
60,2018,Jan,30761,28899,1862,6.1,"San Benito County, CA"
61,2018,Feb,31289,29339,1950,6.2,"San Benito County, CA"
62,2018,Mar,31272,29352,1920,6.1,"San Benito County, CA"
63,2018,Apr,31090,29457,1633,5.3,"San Benito County, CA"
64,2018,May,31137,29681,1456,4.7,"San Benito County, CA"
65,2018,Jun,31340,29743,1597,5.1,"San Benito County, CA"
66,2018,Jul,31617,30090,1527,4.8,"San Benito County, CA"
67,2018,Aug,31088,29689,1399,4.5,"San Benito County, CA"
68,2018,Sep,31081,29811,1270,4.1,"San Benito County, CA"
69,2018,Oct,31293,29980,1313,4.2,"San Benito County, CA"
70,2018,Nov,31243,29840,1403,4.5,"San Benito County, CA"
71,2018,Dec,31187,29508,1679,5.4,"San Benito County, CA"
72,2019,Jan,32254,30167,2087,6.5,"San Benito County, CA"
73,2019,Feb,32533,30471,2062,6.3,"San Benito County, CA"
74,2019,Mar,32535,30483,2052,6.3,"San Benito County, CA"
75,2019,Apr,32049,30432,1617,5.0,"San Benito County, CA"
76,2019,May,31957,30545,1412,4.4,"San Benito County, CA"
77,2019,Jun,32056,30539,1517,4.7,"San Benito County, CA"
78,2019,Jul,32597,31030,1567,4.8,"San Benito County, CA"
79,2019,Aug,32275,30865,1410,4.4,"San Benito County, CA"
80,2019,Sep,32174,30944,1230,3.8,"San Benito County, CA"
81,2019,Oct,32543,31186,1357,4.2,"San Benito County, CA"
